continent,country,covid_confirmed_cases,covid_deaths,covid_fatality_rate,age dependency ratio (% of working-age population),"age dependency ratio, old","age dependency ratio, young","age population, age 0, female, interpolated",diabetes prevalence (% of population ages 20 to 79),"gni per capita, atlas method (current us$)","immunization, dpt (% of children ages 12-23 months)","immunization, hepb3 (% of one-year-old children)","immunization, hib3 (% of children ages 12-23 months)","immunization, measles (% of children ages 12-23 months)","immunization, pol3 (% of one-year-old children)",Immunization_average,improved sanitation facilities (% of population with access),"improved sanitation facilities, rural (% of rural population with access)","improved sanitation facilities, urban (% of urban population with access)",improved water source (% of population with access),"improved water source, rural (% of rural population with access)","improved water source, urban (% of urban population with access)",lifetime risk of maternal death (%),lifetime risk of maternal death (1 in: rate varies by country),maternal leave benefits (% of wages paid in covered period),"maternal mortality ratio (modeled estimate, per 100,000 live births)",number of under-five deaths,number of weeks of maternity leave,people practicing open defecation (% of population),"people practicing open defecation, rural (% of rural population)","people practicing open defecation, urban (% of urban population)","population ages 00-04, female (% of female population)","population ages 00-04, male (% of male population)",population ages 00-14 (% of total),"population ages 00-14, female (% of total)","population ages 00-14, male (% of total)","population ages 00-14, total","population ages 0-14, female","population ages 0-14, male","population ages 05-09, female (% of female population)","population ages 05-09, male (% of male population)","population ages 10-14, female (% of female population)","population ages 15-19, female (% of female population)","population ages 15-19, male (% of male population)",population ages 15-64 (% of total),"population ages 15-64, female","population ages 15-64, female (% of total)","population ages 15-64, male","population ages 15-64, male (% of total)","population ages 15-64, total","population ages 20-24, female (% of female population)","population ages 20-24, male (% of male population)","population ages 25-29, female (% of female population)","population ages 25-29, male (% of male population)","population ages 30-34, female (% of female population)","population ages 30-34, male (% of male population)","population ages 35-39, female (% of female population)","population ages 35-39, male (% of male population)","population ages 40-44, female (% of female population)","population ages 40-44, male (% of male population)","population ages 45-49, female (% of female population)","population ages 45-49, male (% of male population)","population ages 50-54, female (% of female population)","population ages 50-54, male (% of male population)","population ages 55-59, female (% of female population)","population ages 55-59, male (% of male population)","population ages 60-64, female (% of female population)","population ages 60-64, male (% of male population)",population ages 65 and above (% of total),"population ages 65 and above, female","population ages 65 and above, female (% of total)","population ages 65 and above, male","population ages 65 and above, male (% of total)","population ages 65 and above, total","population ages 65-69, female (% of female population)","population ages 65-69, male (% of male population)","population ages 70-74, female (% of female population)","population ages 70-74, male (% of male population)","population ages 75-79, female (% of female population)","population ages 75-79, male (% of male population)","population ages 80 and older, female (% of female population)","population ages 80 and older, male (% of male population)","population ages10-14, male (% of male population)",population growth (annual %),"population, total",rural population (% of total population),rural population growth (annual %),urban population (% of total),urban population growth (annual %),fat_animal products,fat_animal fats,fat_cereals - excluding beer,fat_eggs,"fat_fish, seafood",fat_fruits - excluding wine,fat_meat,fat_miscellaneous,fat_milk - excluding butter,fat_offals,fat_oilcrops,fat_pulses,fat_spices,fat_starchy roots,fat_stimulants,fat_treenuts,fat_vegetal products,fat_vegetable oils,fat_vegetables,obesity,undernourished,population,kcal_alcoholic beverages,kcal_animal products,kcal_animal fats,kcal_cereals - excluding beer,kcal_eggs,"kcal_fish, seafood",kcal_fruits - excluding wine,kcal_meat,kcal_milk - excluding butter,kcal_miscellaneous,kcal_offals,kcal_oilcrops,kcal_pulses,kcal_spices,kcal_starchy roots,kcal_stimulants,kcal_sugar & sweeteners,kcal_treenuts,kcal_vegetal products,kcal_vegetable oils,kcal_vegetables,protein_alcoholic beverages,protein_animal products,protein_animal fats,protein_cereals - excluding beer,protein_eggs,"protein_fish, seafood",protein_fruits - excluding wine,protein_meat,protein_milk - excluding butter,protein_offals,protein_oilcrops,protein_pulses,protein_spices,protein_starchy roots,protein_stimulants,protein_sugar & sweeteners,protein_treenuts,protein_vegetal products,protein_vegetable oils,protein_vegetables,protein_miscellaneous,gni_category
europe,romania,1808891,58752,0.002962427,48.88613107,25.77813849,23.10799258,80170,8.4,9500,89,90,92,86,89,89.2,79.1,63.3,92.2,100,100,100,0.042898204,2300,85,31,1882,126,9.441721854,14.75231788,2.777124183,4.467221657,5.024094334,15.52058179,14.64955433,16.44777043,3078102,1498048,1580054,5.080659743,5.703928811,5.101672934,5.097170108,5.724593341,67.16542148,6677249,65.29746936,6643258,69.15381341,13320508,4.76062108,5.405557542,6.114003821,6.941441081,5.998272227,6.65332272,7.516311316,8.069102274,7.637191838,8.24508408,8.014455167,8.607607446,5.567621077,5.724223009,7.211132976,6.988917654,7.380689752,6.793964264,17.31399673,2050596,20.0529763,1383183,14.39841616,3433779,5.90739067,5.043838325,4.306471735,3.280581468,4.713336429,3.00103365,5.125777471,3.072962721,5.719747281,-0.385442669,19832389,45.436,-0.761092157,54.564,-0.071555144,27.4359,6.8987,2.5519,1.5914,0.1994,0.293,7.9894,0.0366,10.6349,0.1221,0.5495,0.0407,0.4965,0.1099,0.8506,0.6797,22.56,16.512,0.4477,24.5,2.5,19241000,2.1141,13.1527,2.1708,17.849,0.7946,0.1703,1.7877,3.7741,6.101,0.1135,0.1419,0.2128,0.2838,0.3263,2.5965,0.3831,4.0153,0.2554,36.8473,5.0936,1.8161,0.5856,24.4846,0.0656,17.4756,2.0943,0.7871,0.6559,9.8154,10.9445,0.7777,0.253,0.595,0.417,2.0287,0.417,0.0141,0.1921,25.5201,0.0187,2.7314,0.1265,mid_gni
asia,russian federation,10320405,302671,0.00210047,43.0978772,19.12623695,23.97164025,938060,9.2,11400,97,97,87.47468354,98,97,95.29493671,72.2,58.7,77,96.9,91.2,98.9,0.044431151,2300,100,25,18542,140,1,0.9,1,5.802381739,7.065316727,16.75191851,15.2476074,18.48576363,24138981,11764367,12374613,5.046086612,6.095038016,4.399139045,4.010383885,4.866976341,69.88223879,52394960,67.90826631,48303118,72.15740815,100698078,5.668141216,6.881978521,8.086346623,9.569808988,7.73646125,8.989472083,7.096801524,7.838182456,6.655089093,7.275620582,5.838750644,6.052617123,7.690467656,7.627413443,7.83682594,7.117771524,7.28899848,5.937567087,13.3658427,12996169,16.84412629,6263584,9.356828225,19259753,4.609839411,3.452554434,3.4547218,1.992242458,4.477175446,2.272833161,4.302389635,1.639198172,5.325408885,0.192585837,144096812,25.992,-0.130070934,74.008,0.306152069,27.936,7.2,1.6511,1.9603,0.9415,0.2138,10.8433,0.0091,6.8453,0.1455,0.7823,0.0546,0.0273,0.141,0.4184,0.1274,22.064,18.3753,0.2638,25.7,2.5,146733000,2.0381,12.7641,2.1273,16.7361,0.9075,0.6992,1.1306,4.8349,4.0167,0.0298,0.1785,0.2827,0.357,0.0298,3.0646,0.2083,6.8432,0.0446,37.2359,5.3109,1.1604,0.3436,27.3905,0.0834,16.2085,2.3071,3.2496,0.4123,12.6006,8.1632,0.9817,0.3682,0.7559,0.0344,2.4102,0.3534,0.0049,0.0393,22.6095,0.0245,1.615,0.0442,mid_gni
africa,rwanda,111786,1350,0.000116282,78.06861621,4.967858534,73.10075768,163269,4.1,700,98,98,98,97,98,97.8,61.6,62.9,58.5,76.1,71.9,86.6,1.178849686,85,60,290,14207,84,1.6,1.9,0.8,13.9566784,15.29774087,41.05201648,39.39910084,42.85077288,4766002,2383685,2382317,13.60757673,14.77757436,11.83484571,10.19574883,10.99287247,56.1581272,3471101,57.37262194,3048670,54.83647465,6519771,8.572073189,8.870044892,9.124460753,9.816036,8.031123453,7.528555287,5.659840333,5.21650431,4.388737376,3.573858103,3.320821143,2.6810546,3.480025124,2.78845507,2.59450257,1.894284554,2.005289169,1.474809365,2.789856315,195314,3.228277219,128579,2.31275247,323893,1.342556321,0.944012536,0.924331829,0.654709378,0.441447249,0.321913617,0.519941819,0.392116939,12.77545765,2.336558276,11609666,71.189,0.983182933,28.811,5.761320949,11.0727,1.0364,4.8545,0.1636,0.6364,9.6727,5.2182,0.0182,3.7818,0.2364,3.6545,2.6909,0.0545,2.1636,0.0545,0.0182,38.9091,15.5091,0.2545,4.8,36.8,12952000,0.858,2.3707,0.1129,9.4378,0.0226,0.3161,8.8056,0.9257,0.8806,0.0226,0.0903,0.7902,7.5638,0.0452,16.5049,0.0226,1.4224,0,47.6406,1.6934,0.4741,0.5486,7.3852,0.0084,9.2421,0.0928,2.1185,3.8656,3.0047,1.6796,0.4895,2.0594,18.2478,0.0675,7.6384,0.0506,0,0,42.6148,0,0.8693,0.0169,low_gni
north america,saint lucia,13570,295,0.001594603,47.32504061,13.25534355,34.06969707,1375,10.9,7390,99,99,99,97,99,98.6,90.5,91.9,84.7,96.3,95.6,99.5,0.091171389,1100,65,48,40,91,2.4,1.4,6.7,7.211375212,7.685188246,23.12553041,22.45967742,23.81692174,42782,21166,21616,7.362054329,7.83944292,7.886247878,8.466680815,8.792516445,67.87712366,63860,67.76315789,61712,67.99546051,125572,8.676782683,9.103229432,7.509550085,7.528729933,7.588073005,7.418548023,7.099957555,7.132075056,7.066001698,6.749743827,6.813455008,6.79491841,6.166171477,6.161372426,4.873726655,4.727905772,3.502758913,3.586421181,8.997345932,9214,9.777164686,7431,8.187617757,16645,2.977504244,2.744631386,2.306876061,2.01522714,1.783743633,1.593230423,2.709040747,1.834528807,8.292290572,0.734587346,184999,81.496,0.701547073,18.504,0.880235717,33.3454,3.813,1.6712,0.5249,1.5867,0.3741,22.8778,0.1629,4.3137,0.2353,2.4012,0.181,0.4163,0.0965,0.9894,0.5551,16.6516,9.6531,0.1508,19.8,11.22675159,182000,2.5564,14.6429,1.0526,15.3571,0.2444,1.2218,2.0113,8.9286,2.9323,0.4323,0.2632,0.8647,1.109,0.3383,1.2406,0.3571,7.4436,0.188,35.3571,2.6692,0.7895,0.3355,30.1926,0.0578,12.7653,0.5784,5.437,0.7577,18.0172,4.795,1.3072,0.856,2.3367,0.3297,0.6709,0.2082,0,0.1504,19.8161,0.0463,0.9312,0.4107,mid_gni
north america,saint vincent and the grenadines,5850,81,0.000739983,46.75944547,10.76073258,35.9987129,794,11.9,6670,98,98,98,99,97,98,73.56153846,67.43333333,79.48525641,95.1,95.1,95.1,0.093615673,1100,65,45,30,91,9.441721854,14.75231788,2.777124183,7.755854693,7.796205098,24.52906031,24.48275862,24.57452202,26850,13277,13573,8.297990042,8.312210313,8.428913885,8.89175733,8.967627462,68.13871481,36612,67.51244699,37974,68.75362109,74586,8.655725613,8.74311993,8.117278259,8.116671495,7.779826664,7.749130939,7.018255578,7.120871958,6.282500461,6.494423523,5.845472985,6.246378911,6.315692421,6.608487833,4.945602065,5.149188876,3.660335608,3.557720162,7.332224882,4341,8.004794394,3685,6.671856895,8026,2.56684492,2.42612978,1.731513922,1.598710892,1.805273834,1.37782445,1.901161719,1.269191773,8.466106605,0.093226465,109462,49.45,-0.611476258,50.55,0.787434216,24.4653,1.085,4.3274,0.7589,0.715,0.7526,17.529,0.2258,4.2521,0.1254,0.6773,0.2759,1.2919,0.1756,1.7184,0.4516,25.5315,15.3904,0.2509,23.8,5.7,111000,1.8243,10.2196,0.2703,17.0777,0.2872,0.5574,3.5473,6.5878,2.3986,0.5068,0.1182,0.2534,1.3345,0.5912,2.348,0.5405,7.027,0.1351,39.7804,3.6655,0.9291,0.1677,27.105,0.028,14.0613,0.738,2.9408,1.3195,17.9582,4.8362,0.6094,0.5591,2.8682,0.3075,1.1741,0.3522,0,0.1118,22.8894,0.028,1.4481,0.4976,mid_gni
oceania,samoa,3,0,0,73.98679981,9.1059707,64.88082911,2159,7.9,3930,66,59,59,69,61,62.8,91.5,91.1,93.3,99,99.3,97.5,0.199376495,500,100,51,80,28,0.1,0.1,0,12.43161224,12.58680904,37.29066181,37.14844418,37.42423026,72056,34765,37291,12.96161737,13.12572759,11.75521457,10.42592751,10.8777247,57.47562465,53038,56.67421782,58021,58.22829272,111059,8.554881176,8.99903657,6.215806121,6.514190518,5.598179176,5.686243025,5.378056078,5.335996146,5.087408104,5.368110473,4.807445717,5.146320902,4.307360233,4.19694111,3.540135066,3.526554534,2.759018636,2.577174742,5.23371354,5781,6.177338006,4332,4.347477018,10113,1.88173192,1.631809241,1.656266028,1.201276544,1.183963071,0.825940348,1.455376988,0.688450885,11.71169363,0.718308449,193228,80.902,0.918324948,19.098,-0.124573487,21.6806,4.778,1.5771,0.2227,1.8968,0.6287,13.2418,0.0683,1.4693,0.0683,16.8666,0,0.115,0.3341,0.291,0.0611,28.3194,8.3345,0.0431,45.5,2.7,200000,0.521,13.4454,2,9.6134,0.1513,1.7479,3.8992,7.9832,1.4286,0.2857,0.1176,9.0924,0,0.1345,4.7395,0.2857,4.1849,0.0336,36.5378,3.4454,0.3193,0.1866,30.9096,0.1341,8.4665,0.4023,7.3761,1.6968,19.3878,2.793,0.6822,3.5918,0,0.1574,3.586,0.5248,0.0058,0.0292,19.0904,0.0058,0.5364,0.3032,mid_gni
africa,sao tome and principe,3897,57,0.000299458,84.20624782,5.683621724,78.5226261,3060,2.3,13410.2027,96,96,96,93,96,95.4,34.7,23.3,40.8,97.1,93.6,98.9,0.73794162,140,100,156,297,90,54.1,66.3,47.5,15.3266726,15.75153811,42.62755853,42.10493278,43.15473992,81139,40246,40893,14.03462886,14.36908368,12.74363132,10.48386253,10.74726411,54.28697516,52001,54.40288748,51331,54.17005245,103332,8.696971282,8.911026921,8.241878956,8.385483173,6.151592823,6.247427685,6.472772925,6.554522526,4.156509913,4.232843318,3.390699378,3.488850663,2.979547,2.623497504,2.308939687,1.791914225,1.520112988,1.187222322,3.085466314,3338,3.492179735,2535,2.675207632,5873,1.009572632,0.716554628,0.844274729,0.594138815,0.816027619,0.719720554,0.822304755,0.644793634,13.03411813,2.124926642,190344,34.908,0.473691448,65.092,3.021818552,7.3284,0.6241,2.9864,0.1074,1.4361,1.2013,4.1809,0.0537,0.9731,0.0134,20.7704,0.1342,0.0336,0.1544,0.0738,0.0268,42.6616,17.1666,0.0738,10.6,7,210000,0.7034,3.6409,0.1862,18.5974,0.0414,1.1585,8.854,1.6343,0.6206,0.1448,0.0207,6.6198,0.7447,0.0621,2.379,0.0207,3.2685,0,46.3591,4.6752,0.2689,0.0672,15.2065,0.0576,22.1614,0.1921,8.3285,4.6494,4.9952,1.5178,0.1153,3.1412,2.2094,0.0576,1.6523,0.0288,0,0.0096,34.7935,0.0192,0.586,0.2113,high_gni
asia,saudi arabia,556236,8877,0.000281449,45.8668307,4.175155231,41.69167547,300576,20,23550,98,98,98,98,97,97.8,100,100,100,97,97,97,0.032568619,3100,100,12,9002,70,0,0,0,11.33795694,9.01359112,28.58201229,32.20697026,25.79672694,9014873,4413792,4601081,11.04639496,8.893625276,9.822618356,9.240961083,7.091709927,68.55568159,8810117,64.28648567,12812600,71.83597585,21622717,8.656713412,6.796059186,8.625001113,8.767856532,8.553922073,9.719543326,8.942999732,9.914526368,7.283496426,10.19226381,4.579639828,8.009100741,3.806891507,5.365764909,2.658367764,3.657750011,1.938492733,2.321401039,2.862306126,480553,3.506544073,422229,2.367297211,902782,1.334922889,0.954411634,0.982986417,0.602537241,0.609480328,0.431819851,0.579154439,0.378528486,7.889510544,2.094772383,31540372,16.87,0.892776943,83.13,2.340473021,15.3954,2.6475,5.2126,0.9019,0.4122,0.4219,6.9243,0.0873,4.4125,0.097,0.6207,0.1794,0.48,0.0291,1.251,0.7128,34.607,25.4182,0.1891,35,7.1,35041000,0,7.59,0.7825,23.4585,0.4069,0.3286,3.2707,3.349,2.6448,0.2973,0.0782,0.2347,0.7825,0.4069,0.5321,0.5008,4.6479,0.266,42.41,7.2457,0.7668,0,21.1377,0.1371,22.5827,1.1194,1.7362,1.2279,11.3199,6.3967,0.4284,0.2741,1.8276,0.4112,0.3141,0.4512,0,0.2799,28.8594,0.0057,1.0966,0.3941,high_gni
africa,senegal,75055,1890,0.000124923,87.60184833,5.50334705,82.09850128,276968,2.2,1000,89,89,89,80,85,86.4,47.6,33.8,65.4,78.5,67.3,92.9,1.633200285,61,100,315,27059,98,13.6,23.6,0.6,16.65943129,17.74793099,43.76209617,42.46370377,45.10801381,6620887,3269957,3350930,13.91962931,14.79670682,11.88464317,10.20282464,10.71132422,53.30437887,4176611,54.2375243,3887954,52.33707738,8064565,9.017383466,9.35007296,7.909884343,8.013065578,6.702379934,6.521373918,5.613632612,5.204666239,4.495718706,3.986832116,3.495873629,2.989737073,2.797940366,2.328489045,2.245125797,1.819825326,1.75676081,1.411690906,2.933524962,254025,3.298771926,189796,2.554908813,443821,1.294030213,1.012737122,0.985313728,0.782198183,0.6218612,0.482023724,0.397566785,0.277949784,12.563376,3.065259815,15129273,56.279,2.484150318,43.721,3.818287492,6.104,0.7876,5.7374,0.258,0.7129,0.0815,3.2319,0.0068,0.9845,0.1222,3.9041,0.1222,0.1697,0.0543,0.2037,0.387,43.9028,33.0391,0.1901,7.4,11.3,16744000,0.0766,2.7565,0.1914,30.5896,0.1149,0.5934,0.4594,1.2634,0.4786,0.0191,0.0957,1.2825,0.7466,0.1149,1.1485,0.0957,3.2351,0.1149,47.2435,8.2312,1.1485,0.0247,10.7308,0.0165,31.8542,0.3877,4.19,0.2309,4.3632,1.0805,0.7011,2.3095,2.095,0.1567,0.6186,0.2062,0,0.1485,39.2692,0.0165,1.5589,0.0412,low_gni
europe,serbia,1299339,12714,0.001791146,50.1111308,25.64253905,24.46859175,44998,10.3,5500,95,94,95,86,95,93,96.4,94.2,98.2,99.2,98.9,99.4,0.025962136,3900,100,17,619,135,0.1,0.2,0,4.85663364,5.342705087,16.3003172,15.54109524,17.09674425,1157037,564764,592273,5.060194274,5.55999136,5.624267323,5.932896493,6.628226797,66.61731617,2367747,65.15529222,2360915,68.15098549,4728662,6.018103302,6.717701701,6.399536736,7.132180014,6.196373337,6.736221733,6.82201774,7.241888052,6.941519131,7.181767399,6.648139353,6.766525135,6.33659713,6.343504458,6.317265049,6.239653379,7.542843952,7.163316817,17.08236663,701494,19.30361254,511054,14.75227027,1212549,6.562976681,5.853256065,4.16791722,3.348769008,3.933284017,2.823934456,4.63943462,2.726310738,6.194047801,-0.454416442,7098247,44.447,-0.674653613,55.553,-0.277858502,33.0354,4.0698,2.1213,1.5195,0.3396,0.578,18.1385,0.006,8.7594,0.2145,1.1262,0.0775,0.0834,0.0596,1.5016,0.9355,16.9646,10.1061,0.3635,23.5,5.7,6957000,2.5678,13.1419,1.1056,20.0428,0.6419,0.2318,2.1041,6.2946,4.6541,0.0178,0.214,0.3923,0.4458,0.0535,1.2482,0.5884,5.2247,0.2853,36.8581,2.6748,1.2126,0.4242,24.2531,0.0545,19.2473,1.6847,1.1272,0.8666,10.9024,9.4722,1.006,0.5394,0.9878,0.0667,0.9999,0.5697,0.0061,0.2242,25.75,0.0364,1.7575,0.0242,mid_gni
africa,sierra leone,7064,123,1.91E-05,81.92542257,4.8564781,77.06894447,101939,2.2,630,86,86,86,76,86,84,13.3,6.9,22.8,62.6,47.8,84.9,5.93782379,17,100,1360,26466,84,23.6,33.7,8.4,15.36725313,15.76092488,42.36293278,41.98052421,42.75332977,2733758,1368542,1365216,14.15760082,14.39225188,12.45567026,10.84358785,10.80708334,54.9675788,1803021,55.30832575,1744138,54.61971371,3547159,9.226996161,9.173820062,7.969275555,7.980548903,6.768641802,6.789563825,5.55880544,5.529119493,4.473633758,4.376340136,3.523341651,3.40607139,2.842655321,2.725289275,2.301112442,2.172840805,1.800275772,1.659036483,2.669488426,88382,2.711150035,83885,2.626956517,172267,1.311371818,1.285904375,0.826148907,0.806986261,0.406786004,0.382433009,0.166843306,0.151632872,12.60015301,2.154661413,6453184,60.058,1.550407365,39.942,3.070164499,5.9931,0.1678,3.2063,0.2983,1.2117,0.261,2.0412,0.0373,2.1996,0.0746,4.856,0.466,0.2889,0.4474,0.0746,0.0559,44.0022,34.0479,0.2703,7.5,25.6,7977000,0.1021,2.6128,0.0408,27.5362,0.1021,0.8777,0.8573,0.6736,0.8777,0.0816,0.0612,1.2656,1.7759,0.1225,7.0831,0.0408,1.0206,0.2041,47.377,6.5932,0.694,0.0359,11.9253,0,24.7486,0.3592,6.5733,0.449,2.694,1.9037,0.3951,2.3527,5.0916,0.1976,2.9813,0.1437,0,0.2335,38.0747,0.009,1.7241,0.1078,low_gni
europe,slovenia,464048,5589,0.002708153,48.70509704,26.71992022,21.98517682,10513,7.8,22610,95,87.34868421,95,94,95,93.26973684,99.1,99.1,99.1,99.5,99.4,99.7,0.014295917,7000,100,9,57,105,0,0,0,5.16439084,5.576252796,14.78443318,14.23566555,15.34276971,305116,148165,156951,4.846657421,5.196384174,4.224617291,4.353225958,4.710448973,67.24718335,674182,64.77513144,713644,69.76234061,1387826,4.923285553,5.225169492,6.048923082,6.66326447,6.808107429,7.62781657,7.238049752,8.117264556,6.660605468,7.425929034,7.239104707,7.650356938,7.225582096,7.562147014,7.177341857,7.453348269,7.100905535,7.326595292,17.96838347,218456,20.98920301,152370,14.89488968,370826,5.098504073,4.752992697,4.92625861,4.059705629,4.176281148,3.005577521,6.788159179,3.076613832,4.570132744,0.086675197,2063768,50.35,0.176075207,49.65,-0.003903654,26.6163,10.0008,3.5771,1.1287,0.3693,0.4606,8.5899,0.0622,6.4155,0.112,0.8714,0.0415,0.1784,0.0539,2.411,1.5852,23.3878,13.8684,0.2697,22.5,2.5,2103000,2.2372,13.6108,3.5357,18.0069,0.6101,0.3442,2.6596,4.5995,4.3492,0.2034,0.1564,0.3755,0.2972,0.1408,1.5019,1.1264,3.4731,0.6414,36.3892,4.6308,1.1108,0.5488,27.4912,0.6606,15.5089,1.5092,1.6515,0.7978,12.7954,9.9853,0.8842,0.4624,0.6301,0.1779,1.1179,0.8689,0.0051,0.498,22.5062,0.0356,1.6769,0.188,high_gni
oceania,solomon islands,24,0,0,75.08272756,5.944084267,69.1386433,7953,16.4,1940,98,98,98,92,99,97,29.8,15,81.4,80.8,77.2,93.2,0.458520692,220,25,114,470,84,53.7,66.4,9.5,13.78364454,14.22096834,39.48912852,38.85779133,40.10117338,230455,111626,118829,13.14243146,13.5845007,11.93171533,10.51700851,10.99205934,57.11585682,165693,57.67889218,167630,56.57002663,333323,8.832518763,9.093117983,7.576548728,7.218811905,7.145592269,6.438919692,6.666945152,6.112924073,5.553698985,5.379940133,4.007407717,3.95750583,3.184482783,3.154665686,2.41690686,2.44260486,1.777782419,1.779477125,3.395014659,9949,3.463316485,9864,3.328799992,19813,1.43489703,1.343128951,1.033529666,0.996210217,0.531907487,0.554799999,0.462982302,0.434660826,12.29570435,1.976249726,583591,77.671,1.394693622,22.329,4.025939221,13.6649,3.4726,3.0802,0.2943,2.5505,0.569,6.5431,0.0981,0.7553,0.049,16.5686,0.5199,0.1962,2.1778,0.981,0.3139,36.3351,11.752,0.0785,20.5,8.9,715000,0.2697,4.1693,0.6638,16.7393,0.083,1.3483,1.1201,1.6179,0.3941,0.1867,0.0415,4.2315,1.8876,0.083,16.8845,0.2282,1.7424,0.0622,45.8411,2.1987,0.2074,0.1398,14.7782,0.0839,15.0205,0.3168,9.1129,0.5498,3.9415,1.0622,0.2423,1.9847,5.4603,0.1398,10.9672,0.1677,0,0.0839,35.2218,0,0.4752,0.2329,low_gni
africa,south africa,3458286,91145,0.001658481,52.14352789,7.657932504,44.48559539,504862,7.6,6050,69,71,69,76,70,71,66.4,60.5,69.6,93.2,81.4,99.6,0.333630208,300,38,138,41930,120,3.7,7.9,1.5,9.609289662,10.10926641,29.23922975,28.47672439,30.02722741,16068980,7953618,8115362,9.784993762,10.45657809,9.082440965,8.769201048,10.62990181,65.72740897,18118740,64.87140322,18003020,66.61203296,36121760,9.184903126,10.15566295,9.411742615,10.24888145,8.484632481,8.523309252,6.624468506,6.270962967,5.582958241,5.823935854,4.942355781,5.31892146,4.613476618,4.3978682,4.011027998,3.126749246,3.246636804,2.115839771,5.033361286,1857884,6.651872394,908296,3.360739622,2766180,2.472615069,1.219777876,1.701456858,0.839365792,1.203839217,0.662705913,1.27396125,0.638890042,9.461382912,1.648009331,54956920,35.199,0.229105187,64.801,2.427260481,19.7743,0.8542,6.4308,1.0982,0.2379,0.0854,14.1489,0,3.1056,0.3295,1.1836,0.0427,0.1037,0.0549,0.2807,0.0915,30.2257,21.7877,0.1647,27,6.2,59628000,2.2875,7.614,0.2171,25.9977,0.4341,0.1837,0.5176,5.1428,1.3692,0,0.2839,0.4508,0.2672,0.0835,1.0519,0.1169,5.6938,0.0334,42.3777,5.2763,0.6011,0.4676,20.7182,0.006,24.8966,1.2409,0.9712,0.2278,13.914,2.9615,1.6246,1.157,0.6235,0.1319,0.7793,0.1679,0,0.03,29.2848,0,0.7973,0,mid_gni
europe,spain,6294745,89405,0.001926074,50.76394896,28.32774135,22.43620761,179037,7.7,28520,97,97,97,96,97,96.8,99.9,100,99.8,100,100,100,0.006811344,14700,100,5,1566,112,0,0,0,4.421042929,4.886092183,14.88167858,14.16613804,15.62487775,6907818,3350178,3557640,5.031100815,5.548002725,4.713994299,4.332214463,4.744182856,66.32885532,15316486,64.76535675,15472221,67.95278966,30788706,4.683238618,5.008738441,5.216205158,5.468638702,6.459876029,6.772149138,8.12261486,8.66358985,8.250612454,8.898746932,7.788562291,8.291832056,7.513901763,7.789065056,6.737736816,6.791991248,5.660394301,5.523855376,18.7894661,4982532,21.0685052,3739213,16.42233259,8721745,5.278010161,4.923500021,4.557743354,4.017702575,3.873798637,3.059305192,7.358953052,4.421824801,5.190782847,-0.134797808,46418269,20.421,-1.225731469,79.579,0.147079372,19.5253,2.4641,1.078,1.2521,1.0814,0.375,9.2772,0,5.3601,0.0937,1.0513,0.0971,0.0134,0.0469,0.4955,1.3626,30.4731,25.6922,0.2611,27.1,2.5,47635000,2.4163,13.1824,1.0093,11.9896,0.8105,1.2999,1.8351,5.9642,3.9456,0,0.1376,0.5353,0.7035,0.0153,1.5905,0.3517,4.8173,0.7035,36.8252,10.3839,1.4834,0.4855,31.0583,0.0607,11.2506,2.012,5.7607,0.7096,15.2747,7.2732,0.6769,0.6022,1.3631,0.0187,1.1157,0.6396,0.0047,0.6302,18.9394,0.014,2.1101,0,high_gni
asia,sri lanka,587245,14979,0.000714442,51.23349504,14.06962728,37.16386776,151615,8,3800,99,99,99,99,99,99,95.1,96.7,88.1,95.6,95,98.5,0.063497892,1600,100,30,3091,84,0.2,0,1,7.535480068,8.357560237,24.57383318,23.53205823,25.69458028,5152150,2556952,2595198,8.096391252,8.81472822,7.900186908,7.352558453,7.972561904,66.12291763,7203166,66.29194655,6660165,65.94107541,13863331,7.312626435,7.511355547,7.171630178,6.804589998,7.51399111,7.116536851,7.49152411,7.479299075,6.511666725,6.674490223,6.316440422,6.474766075,6.099017246,6.054935514,5.718885301,5.400418307,4.803606568,4.45212192,9.30324919,1105706,10.17599522,844813,8.364344304,1950519,4.20107741,3.717859353,2.702597472,2.194199893,1.511539114,1.183734592,1.760781226,1.268550466,8.522291824,0.934429494,20966000,81.644,0.890343929,18.356,1.130749518,10.1348,0.3195,2.7159,1.1682,2.2766,0.5791,2.027,0.01,4.2336,0.0999,27.1892,0.3794,1.4279,0.0899,0.1198,0.4194,39.8602,6.7,0.2396,5.4,9,21937000,0.2105,3.7696,0.0574,26.9805,0.3253,1.1864,1.5499,0.6123,1.5308,0.0191,0.0574,5.7788,1.7604,0.8611,1.3203,0.0957,5.377,0.1722,46.2304,1.129,0.9759,0.0699,14.5498,0,23.7396,1.0176,7.4963,0.5438,2.4314,3.2083,0.3884,2.4703,4.4589,1.3284,0.4816,0.6448,0,0.1631,35.4541,0,1.5148,0.0388,low_gni
